Navigation Status,MMSI,Longitude,Latitude,Ship_Type
0,525007177,106.05559833333334,-6.00377,Passenger
1,525005350,106.00165,-6.34786,Passenger
1,525011121,106.12165833333331,-5.962126666666666,Unknown ship type
1,525016563,106.13780333333334,-5.9539816666666665,Unknown ship type
1,525900722,106.00338833333332,-6.950503333333334,Other types of vessels
0,525021137,-91.76426833333332,-95.59912333333334,Unknown ship type
0,525022382,-92.13402833333332,-94.29187666666668,Unknown ship type
0,525024003,-92.00304166666666,-94.39906666666668,Unknown ship type
0,525301038,-91.91024166666666,-94.55805333333332,Fishing
0,525010011,-91.74120166666668,-95.603675,Unknown ship type
0,636021432,106.00486666666669,-5.576451666666666,Unknown ship type
0,525200308,-91.92176166666668,-94.63823166666668,Tankers
0,374243000,105.85272333333332,-5.839776666666666,Unknown ship type
0,525300433,-91.57264166666668,-95.50396,Fishing
1,525018271,106.01446666666666,-6.0108033333333335,Unknown ship type
0,525100375,105.79829833333334,-5.841775,Cargo 
15,525001057,57.66591666666667,71.884775,Passenger
0,525008066,105.56206,-6.200308333333333,Passenger
0,525019408,105.99307,-5.927581666666667,Unknown ship type
1,525114102,105.99199833333331,-5.969896666666667,Unknown ship type
0,525601851,-91.80847333333334,-46.846293333333335,Search and rescue vessels
0,525500784,106.107995,-5.950615,Pilot
0,525200928,70.74698333333333,19.91013833333333,Tankers
1,352003828,105.82618666666669,-5.775183333333334,Passenger
0,525800155,-91.812375,-94.08370666666669,Sailing
1,525601894,106.05513333333332,-5.625871666666667,Search and rescue vessels
1,525008084,106.01868666666668,-5.353468333333334,Passenger
0,525019505,-92.94616166666668,-93.68793,Unknown ship type
6,525016699,106.04673833333334,-5.432521666666666,Unknown ship type
1,525201853,106.00820666666668,-6.725141666666667,Tankers
0,525005177,105.78015333333332,-5.663546666666667,Passenger
0,525600466,80.81119666666666,72.854255,Search and rescue vessels
0,525007392,105.89433166666667,-5.91059,Passenger
0,294067712,76.48629,94.46373666666666,Unknown ship type
0,525300723,-91.92960166666668,-94.617235,Fishing
0,525100633,105.994115,-5.929561666666666,Cargo 
0,525022382,-92.13432166666666,-94.29078,Unknown ship type
